CrossingId,distance_base,distance_closure,duration_base,duration_closure,eu_distance,circuity_base,circuity_closure,distance_change,duration_change,circuity_change,circuity_pctchg,distance_pctchg,duration_pctchg
435225H,391,1017,50,117,299.0492519677006,1.3074769370840316,3.4007776087326342,626,67,2.0933006716486027,1.601023017902813,1.6010230179028133,1.34
443157E,502,2670,87,302,355.1368937622821,1.4135394232963687,7.518227609962757,2168,215,6.1046881866663885,4.318725099601593,4.318725099601593,2.471264367816092
443267P,417,881,47,89,306.8955369592568,1.3587685377626089,2.8706836493257994,464,42,1.5119151115631906,1.1127098321342925,1.1127098321342925,0.8936170212765957
668206X,1174,4454,121,419,1083.9564980138093,1.0830692948943819,4.109020987614631,3280,298,3.025951692720249,2.7938671209540034,2.7938671209540034,2.4628099173553717
443081B,3401,23273,310,2067,2678.9107850533273,1.2695458239876767,8.687486022247926,19872,1757,7.417940198260249,5.842987356659805,5.842987356659806,5.667741935483871
443250L,1887,4712,155,331,1642.3733491495677,1.148947041168868,2.869018790666511,2825,176,1.720071749497643,1.4970853206147323,1.4970853206147323,1.135483870967742
443216E,279,441,41,79,213.97119189855007,1.3039138471139702,2.0610251131801465,162,38,0.7571112660661763,0.5806451612903226,0.5806451612903226,0.926829268292683
443161U,906,5864,106,633,833.8588586428178,1.0865148107613782,7.0323651769367785,4958,527,5.9458503661754,5.472406181015452,5.472406181015453,4.971698113207547
443017C,570,2098,76,253,511.1011783230554,1.1152390645433339,4.104862381424411,1528,177,2.989623316881077,2.6807017543859644,2.680701754385965,2.3289473684210527
443064K,565,7018,62,580,465.73183449858067,1.213144471020097,15.068757340918657,6453,518,13.85561286989856,11.421238938053097,11.421238938053097,8.35483870967742
443092N,282,520,38,87,284.71342529291616,0.9904696264669481,1.8263978927759328,238,49,0.8359282663089846,0.8439716312056738,0.8439716312056738,1.2894736842105263
443270X,2056,3650,158,316,1690.3602360080845,1.2163087821181844,2.15930304218452,1594,158,0.9429942600663355,0.7752918287937742,0.7752918287937743,1
443007W,1087,10621,100,818,878.5078201988017,1.2373253544334046,12.089818389546632,9534,718,10.852493035113227,8.770929162833484,8.770929162833486,7.18
443188D,293,526,39,94,292.89200054783356,1.0003687347280377,1.7958838036414602,233,55,0.7955150689134225,0.795221843003413,0.7952218430034129,1.4102564102564104
443034T,769,2488,87,360,551.4182608322519,1.3945856614167138,4.512001463725336,1719,273,3.1174158023086225,2.2353706111833547,2.235370611183355,3.1379310344827585
443003U,1776,4861,171,424,1606.8633508174667,1.1052588878179888,3.0251483410378626,3085,253,1.9198894532198738,1.73704954954955,1.7370495495495495,1.4795321637426901
443024M,1727,4579,169,395,1493.7951931189023,1.1561156495584834,3.065346589072551,2852,226,1.9092309395140676,1.6514186450492183,1.6514186450492183,1.3372781065088757
443272L,1455,5893,124,368,1324.439852633962,1.098577634240157,4.44942817771632,4438,244,3.350850543476163,3.050171821305842,3.0501718213058417,1.967741935483871
443186P,311,542,41,96,311.30901630017564,0.9990073647597869,1.741035343086188,231,55,0.7420279783264011,0.742765273311897,0.7427652733118971,1.3414634146341464
443261Y,749,3441,44,226,545.4328976865113,1.3732211664843315,6.308750379002115,2692,182,4.935529212517784,3.5941255006675563,3.5941255006675568,4.136363636363637
443041D,1545,4140,139,403,1434.9690845393907,1.0766782480863886,2.8850795773965365,2595,264,1.808401329310148,1.679611650485437,1.6796116504854368,1.8992805755395683
668216D,415,903,57,144,291.18467251619813,1.4252123795318046,3.1011247679933,488,87,1.6759123884614955,1.1759036144578314,1.1759036144578314,1.5263157894736843
443189K,305,473,54,66,238.4833606164309,1.2789152216390993,1.983366884705882,168,12,0.7044516630667828,0.5508196721311477,0.5508196721311476,0.2222222222222222
443245P,483,1493,74,169,455.2302451639839,1.061001559388948,3.279659064529398,1010,95,2.21865750514045,2.0910973084886124,2.091097308488613,1.2837837837837838
443043S,434,819,71,128,291.80173906869703,1.4873112181755235,2.806700202040907,385,57,1.3193889838653834,0.8870967741935482,0.8870967741935484,0.8028169014084507
443009K,455,1071,42,181,386.5108315352233,1.1771985747274851,2.770944337435465,616,139,1.5937457627079799,1.353846153846154,1.353846153846154,3.3095238095238093
668209T,477,816,89,121,443.82427588494045,1.0747496834167318,1.8385654961594406,339,32,0.7638158127427088,0.7106918238993711,0.710691823899371,0.3595505617977528
443208M,892,9198,91,895,777.4693438182874,1.147312118596513,11.830691554765387,8306,804,10.683379436168874,9.311659192825111,9.311659192825113,8.835164835164836
668210M,463,1074,75,99,403.5843106342881,1.1472200177264869,2.661153993603125,611,24,1.5139339758766384,1.3196544276457884,1.3196544276457884,0.32
443113E,347,7425,41,566,321.6301590031342,1.0788789244003034,23.085521653234157,7078,525,22.006642728833853,20.397694524495677,20.397694524495677,12.804878048780488
443029W,554,649,59,128,515.5420660481458,1.074597082342186,1.258869145198698,95,69,0.184272062856512,0.1714801444043321,0.17148014440433212,1.1694915254237288
443215X,413,663,65,98,390.2495371039964,1.0582972194274274,1.6989129696861607,250,33,0.6406157502587333,0.6053268765133172,0.6053268765133172,0.5076923076923077
443099L,1484,4414,146,521,1226.4790730074662,1.2099676485804711,3.5989199466537736,2930,375,2.3889522980733027,1.974393530997305,1.9743935309973046,2.5684931506849313
443181F,1671,11618,153,833,1670.1367315550494,1.0005168848925003,6.956316677846241,9947,680,5.955799792953741,5.952722920406942,5.952722920406942,4.444444444444445
443022Y,1253,4406,119,504,1108.4293846560786,1.130428349649697,3.974993861577466,3153,385,2.844565511927769,2.516360734237829,2.5163607342378294,3.235294117647059
443036G,3779,6214,357,579,2562.0321576608317,1.4750010021147726,2.425418424752897,2435,222,0.9504174226381243,0.6443503572373644,0.6443503572373643,0.6218487394957983
443185H,345,580,59,91,263.04267053501894,1.3115742753762456,2.204965448458616,235,32,0.8933911730823705,0.6811594202898553,0.6811594202898551,0.5423728813559322
443002M,1129,5574,115,477,859.9459987403893,1.312873135817492,6.481802355222941,4445,362,5.168929219405449,3.9371124889282547,3.937112488928255,3.1478260869565218
443172G,494,811,79,111,416.5061944076546,1.1860567901098211,1.9471499125082288,317,32,0.7610931223984077,0.6417004048582997,0.6417004048582996,0.4050632911392405
435217R,1486,9081,122,647,1315.6011763081513,1.129521641330561,6.902547796044971,7595,525,5.77302615471441,5.111036339165546,5.111036339165545,4.30327868852459
443032E,558,921,109,203,510.53210004420055,1.0929773073068076,1.804000179264462,363,94,0.7110228719576543,0.650537634408602,0.6505376344086021,0.8623853211009175
443224W,2929,11468,268,888,2813.7650441932183,1.0409540078851263,4.075677897721621,8539,620,3.0347238898364948,2.9153294639808807,2.9153294639808807,2.3134328358208953
443160M,981,3064,143,347,823.5799848554689,1.1911411375206709,3.7203429616343886,2083,204,2.5292018241137177,2.1233435270132515,2.123343527013252,1.4265734265734267
443177R,1840,7336,167,694,1600.019234643624,1.1499861752660914,4.584944881386981,5496,527,3.4349587061208897,2.98695652173913,2.9869565217391303,3.155688622754491
